id,latitude,longitude,time,magnitude,mc_current
42,13.1442,93.2891,2023-07-10 00:01:47,4.2,4.8
43,16.2764,99.9211,2023-06-28 17:17:56,4.1,4.8
44,9.3365,93.7769,2023-06-26 18:05:37,4.6,4.8
45,9.2868,93.5555,2023-06-26 13:32:03,4.9,4.8
46,13.7408,92.7235,2023-06-26 12:52:59,4.7,4.8
47,9.0468,93.8134,2023-06-26 11:31:59,4.3,4.8
48,15.3774,96.1679,2023-06-22 06:34:11,4.1,4.8
49,15.4378,96.2622,2023-06-22 00:12:56,4.9,4.8
50,15.4197,96.356,2023-06-21 21:58:31,4.3,4.8
51,15.2265,96.4824,2023-06-21 21:22:06,4.4,4.8
52,15.3125,96.3708,2023-06-21 18:26:27,4.4,4.8
53,15.2518,96.3573,2023-06-21 08:26:42,4.3,4.8
54,15.4201,96.1549,2023-06-21 02:47:18,4.6,4.8
55,9.1371,93.367,2023-06-21 02:10:42,4.5,4.8
56,15.4018,96.2849,2023-06-19 11:36:50,4.7,4.8
57,15.4176,95.9513,2023-06-19 04:14:28,4.2,4.8
58,15.236,96.1823,2023-06-19 04:13:49,4.6,4.8
59,15.282,96.365,2023-06-19 03:46:55,4.4,4.8
60,15.2499,96.2806,2023-06-19 01:40:23,5.6,4.8
61,16.8315,95.6686,2023-06-07 10:32:05,4.4,4.8
62,16.8733,95.5417,2023-06-07 09:53:50,4.8,4.8
63,12.7887,95.5011,2023-06-05 02:09:45,4.6,4.8
64,13.407,94.1485,2023-05-29 02:18:17,4.6,4.8
65,9.7587,93.5283,2023-05-14 21:43:49,4.0,4.8
66,10.972,92.0333,2023-05-09 13:42:18,5.1,4.8
67,9.3899,93.8833,2023-04-24 10:58:31,5.1,4.8
68,8.9023,93.8885,2023-04-13 03:21:19,4.9,4.8
69,9.1853,93.979,2023-04-11 02:08:29,4.5,4.8
70,8.9365,93.6767,2023-04-10 17:12:17,4.9,4.8
71,9.0663,93.9297,2023-04-10 17:11:50,4.8,4.8
72,8.897,93.7742,2023-04-10 16:47:16,4.3,4.8
73,8.9611,93.7674,2023-04-10 11:21:22,4.5,4.8
74,9.1716,93.8314,2023-04-10 00:54:56,4.6,4.8
75,9.0229,93.5628,2023-04-10 00:51:40,4.2,4.8
76,8.9923,93.8476,2023-04-09 23:55:02,4.1,4.8
77,9.3723,93.8096,2023-04-09 21:00:08,4.1,4.8
78,9.0116,93.9224,2023-04-09 20:55:58,5.2,4.8
79,13.2395,93.1777,2023-04-09 19:37:44,4.3,4.8
80,8.9466,93.9623,2023-04-09 12:47:52,4.4,4.8
81,8.9733,93.8322,2023-04-09 12:27:39,4.3,4.8
82,9.1656,94.1407,2023-04-09 12:24:01,4.2,4.8
83,8.966,93.9695,2023-04-09 12:17:33,5.7,4.8
84,9.0971,93.7971,2023-04-09 11:44:44,4.4,4.8
85,9.1044,93.9484,2023-04-09 10:44:50,4.4,4.8
86,9.0886,93.9474,2023-04-09 10:38:58,4.9,4.8
87,8.9326,93.9552,2023-04-09 10:31:20,5.5,4.8
88,9.0979,93.9434,2023-04-09 09:29:47,4.6,4.8
89,9.3635,93.9687,2023-04-09 09:25:52,4.3,4.8
90,8.9963,93.8953,2023-04-09 08:14:50,4.5,4.8
91,9.0868,93.9884,2023-04-09 07:46:14,5.3,4.8
92,9.1594,93.6124,2023-04-09 06:52:06,4.3,4.8
93,9.1198,94.0206,2023-04-08 15:47:41,4.4,4.8
94,8.9628,94.0271,2023-04-08 11:24:20,4.3,4.8
95,9.1421,93.9949,2023-04-08 11:13:30,4.3,4.8
96,9.1273,93.9306,2023-04-08 11:06:11,4.6,4.8
97,15.4297,96.0008,2023-04-05 19:54:54,4.3,4.8
98,9.0652,93.9053,2023-04-04 17:17:43,5.0,4.8
99,11.8777,93.7469,2023-03-31 18:26:41,4.2,4.8
100,17.028,96.0008,2023-03-28 06:52:26,3.5,4.8
101,9.6093,93.7038,2023-03-15 04:52:02,4.0,4.8
102,11.0773,91.7251,2023-03-13 13:44:29,4.4,4.8
103,13.3077,92.4291,2023-03-07 11:11:46,4.9,4.8
104,16.1726,93.3461,2023-03-02 15:04:26,4.5,4.8
105,9.8546,92.7139,2023-02-24 07:03:17,4.3,4.8
106,9.2648,93.945,2023-02-22 09:31:56,4.5,4.8
107,15.2852,96.1335,2023-02-21 04:40:49,4.1,4.8
108,12.1363,93.5873,2023-01-30 18:45:37,5.0,4.8
109,10.0936,93.5847,2023-01-19 11:34:03,4.8,4.8
110,12.1382,94.4587,2023-01-19 01:17:56,4.5,4.8
111,11.5055,95.1941,2023-01-18 01:46:55,4.4,4.8
112,11.2892,91.8207,2023-01-10 23:00:07,4.1,4.8
113,11.9644,92.6224,2023-01-07 21:18:36,4.2,4.8
114,10.7847,95.0957,2023-01-03 01:05:36,4.3,4.8
115,10.8475,95.1111,2023-01-03 00:22:01,4.1,4.8
116,10.8119,91.5945,2023-01-02 20:11:27,4.4,4.8
117,17.4535,93.4248,2023-01-01 05:27:09,4.7,4.8
118,11.4848,95.0,2022-12-27 02:29:38,4.1,4.8
119,9.0305,93.8649,2022-12-26 22:50:52,4.3,4.8
120,12.7697,93.6157,2022-12-12 07:18:46,4.3,4.8
121,16.2204,96.1142,2022-12-04 11:33:49,4.0,4.8
122,12.4388,93.9863,2022-11-30 14:39:32,4.1,4.8
123,13.5414,94.2712,2022-10-30 23:02:28,4.5,4.8
124,11.5884,93.1518,2022-10-20 06:46:55,5.1,4.8
125,9.1283,94.0138,2022-10-14 13:19:13,4.5,4.8
126,10.0567,93.9519,2022-10-11 01:35:54,4.1,4.8
127,14.4837,92.9479,2022-09-28 12:13:36,4.6,4.8
128,13.9268,93.6242,2022-09-02 07:13:05,5.6,4.8
129,10.3923,93.8489,2022-08-28 03:16:16,4.6,4.8
130,10.2856,93.8306,2022-08-07 15:44:30,4.6,4.8
131,10.3022,94.1785,2022-07-14 01:36:40,4.4,4.8
132,10.3187,94.1649,2022-07-08 21:34:33,4.5,4.8
133,9.921,94.2657,2022-07-08 21:23:56,4.1,4.8
134,10.4818,94.1885,2022-07-08 21:04:40,5.2,4.8
135,10.3507,94.0642,2022-07-08 19:36:45,4.2,4.8
136,10.3855,94.2628,2022-07-08 19:16:15,4.8,4.8
137,10.3897,94.1656,2022-07-08 19:15:47,4.5,4.8
138,10.4157,94.0481,2022-07-07 01:02:12,4.3,4.8
139,10.3391,94.2494,2022-07-06 19:51:51,4.6,4.8
140,10.4174,94.1129,2022-07-06 18:31:23,4.5,4.8
141,10.4009,94.3816,2022-07-06 17:52:00,4.5,4.8
142,10.3877,94.0749,2022-07-06 15:16:27,4.5,4.8
143,10.368,94.2181,2022-07-06 08:01:06,4.9,4.8
144,10.3261,94.1081,2022-07-06 00:32:44,4.0,4.8
145,10.4628,94.1034,2022-07-06 00:26:14,4.9,4.8
146,10.553,94.1619,2022-07-05 14:50:19,4.9,4.8
147,10.3995,94.1516,2022-07-05 13:16:44,4.2,4.8
148,10.4254,94.1424,2022-07-05 10:24:13,4.2,4.8
149,10.2992,94.3324,2022-07-05 09:44:02,4.7,4.8
150,10.3821,94.0983,2022-07-05 08:19:07,4.3,4.8
151,10.2608,94.1562,2022-07-05 07:48:33,4.8,4.8
152,10.3286,94.1991,2022-07-05 06:46:45,4.3,4.8
153,10.2666,94.2833,2022-07-05 06:06:13,5.0,4.8
154,10.4449,93.87,2022-07-05 03:21:57,4.3,4.8
155,10.3288,94.0598,2022-07-05 02:34:57,4.9,4.8
156,10.2316,94.0501,2022-07-05 01:10:46,4.2,4.8
157,10.3451,94.25,2022-07-05 00:26:57,5.4,4.8
158,10.2778,93.8421,2022-07-05 00:10:04,4.5,4.8
159,10.4198,94.0743,2022-07-04 23:38:46,4.5,4.8
160,10.2329,94.2382,2022-07-04 23:15:13,4.6,4.8
161,10.4627,94.1965,2022-07-04 21:59:01,4.2,4.8
162,10.3032,94.1408,2022-07-04 21:24:41,4.9,4.8
163,10.4048,94.2584,2022-07-04 21:18:26,4.4,4.8
164,10.3526,94.2481,2022-07-04 21:03:56,4.9,4.8
165,10.4204,94.2649,2022-07-04 20:43:48,4.9,4.8
166,10.5545,94.1795,2022-07-04 20:18:13,4.9,4.8
167,10.2384,94.0024,2022-07-04 20:02:48,4.5,4.8
168,10.4646,94.4605,2022-07-04 20:00:39,4.6,4.8
169,10.2638,93.9224,2022-07-04 19:36:57,5.0,4.8
170,10.4137,93.7228,2022-07-04 19:16:37,4.6,4.8
171,10.1636,94.1024,2022-07-04 18:33:26,4.2,4.8
172,10.4137,94.2287,2022-07-04 18:07:44,4.7,4.8
173,10.2429,94.1027,2022-07-04 18:04:26,4.8,4.8
174,10.4139,94.2442,2022-07-04 18:03:50,4.1,4.8
175,10.4304,94.2504,2022-07-04 17:31:21,4.9,4.8
176,10.3736,94.244,2022-07-04 15:13:07,4.2,4.8
177,10.3123,94.1286,2022-07-04 15:03:43,4.4,4.8
178,9.9627,94.1363,2022-07-04 14:19:39,4.5,4.8
179,10.3479,94.0109,2022-07-04 14:16:07,4.5,4.8
180,10.3415,94.1421,2022-07-04 13:48:36,4.2,4.8
181,10.4368,94.1791,2022-07-04 12:56:53,4.3,4.8
182,10.2341,94.2256,2022-07-04 12:51:33,4.5,4.8
183,10.1412,94.2325,2022-07-04 12:20:35,4.6,4.8
184,10.3944,94.2851,2022-07-04 11:48:11,5.0,4.8
185,10.4407,94.2815,2022-07-04 11:15:37,4.1,4.8
186,10.3008,94.2772,2022-07-04 10:09:04,4.5,4.8
187,10.4125,94.2547,2022-07-04 09:55:20,5.0,4.8
188,10.4254,94.2342,2022-07-04 09:46:49,4.5,4.8
189,10.3642,94.1744,2022-07-04 09:32:33,4.7,4.8
190,10.2576,93.8591,2022-07-04 09:11:06,4.3,4.8
191,10.3072,94.1437,2022-07-04 09:07:03,5.0,4.8
192,10.429,94.1853,2022-07-04 08:36:20,5.1,4.8
193,10.3038,94.2014,2022-07-04 08:25:27,4.7,4.8
194,10.357,94.1381,2022-07-04 08:02:40,4.9,4.8
195,10.4216,94.0878,2022-07-04 05:35:52,4.7,4.8
196,10.5852,91.6122,2022-06-22 14:25:32,4.6,4.8
197,10.576,91.58,2022-06-21 01:45:48,4.2,4.8
198,8.9386,93.6528,2022-06-05 09:11:38,5.1,4.8
199,17.5218,94.253,2022-06-02 03:25:38,4.3,4.8
200,17.4462,94.2498,2022-06-01 16:43:15,5.2,4.8
201,12.9434,93.4548,2022-05-27 02:20:15,4.5,4.8
202,10.1921,93.8311,2022-05-09 22:08:05,4.6,4.8
203,9.6727,93.4999,2022-05-09 22:06:30,4.5,4.8
204,13.463,94.0877,2022-05-09 17:16:16,4.2,4.8
205,10.3658,94.1521,2022-05-09 16:10:23,4.3,4.8
206,10.3401,92.4602,2022-05-04 20:36:17,4.6,4.8
207,13.1672,93.0378,2022-04-30 17:34:05,4.5,4.8
208,13.9992,92.9511,2022-04-22 03:51:27,4.9,4.8
209,14.6269,93.0229,2022-03-28 21:22:33,4.7,4.8
210,12.8771,92.9804,2022-03-25 17:58:26,4.2,4.8
211,14.5923,93.0222,2022-03-20 21:54:49,4.1,4.8
212,15.2373,93.5889,2022-03-13 03:28:19,4.2,4.8
213,10.8986,94.8857,2022-02-20 11:43:42,4.3,4.8
214,10.5863,94.3334,2022-01-29 23:46:31,4.4,4.8
215,10.7625,91.4855,2022-01-23 15:50:16,4.6,4.8
216,10.6973,91.5003,2022-01-23 15:21:50,4.5,4.8
217,17.562,84.9267,2022-01-22 08:46:23,4.2,4.8
218,11.0371,93.2253,2022-01-08 05:42:01,4.3,4.8
219,11.9077,93.6061,2022-01-04 15:02:42,4.6,4.8
220,13.0711,93.0237,2022-01-04 01:14:27,4.7,4.8
221,9.8601,93.4354,2021-12-29 00:01:00,5.0,4.8
222,10.2993,94.0416,2021-12-21 21:08:33,5.0,4.8
223,13.7242,92.7441,2021-12-19 03:19:46,5.1,4.8
224,15.9095,93.0067,2021-11-14 10:30:11,4.8,4.8
225,10.9014,91.8348,2021-10-31 07:38:04,4.4,4.8
226,12.9223,92.488,2021-10-24 05:48:39,4.3,4.8
227,13.7634,93.7206,2021-10-05 01:12:16,4.9,4.8
228,11.7507,95.2935,2021-09-30 13:05:36,4.4,4.8
229,9.7592,93.6952,2021-09-21 18:14:55,4.7,4.8
230,10.4507,93.2806,2021-09-14 18:47:12,4.4,4.8
231,12.8565,95.722,2021-09-13 16:30:44,4.5,4.8
232,14.1061,92.9896,2021-09-11 03:20:17,5.2,4.8
233,10.3157,93.729,2021-09-09 03:52:36,4.5,4.8
234,10.263,93.728,2021-09-09 03:44:28,4.8,4.8
235,9.9208,93.3105,2021-09-09 03:36:09,4.3,4.8
236,10.1316,93.9833,2021-09-09 03:02:25,4.7,4.8
237,10.1164,91.5131,2021-09-04 12:53:31,4.4,4.8
238,10.1169,91.4548,2021-09-04 12:10:24,4.2,4.8
239,13.6444,93.5461,2021-09-04 10:07:22,4.2,4.8
240,10.2773,93.9046,2021-09-02 03:21:59,4.2,4.8
241,10.9134,91.5518,2021-08-31 16:05:14,4.3,4.8
242,10.1749,93.839,2021-08-30 18:54:46,4.6,4.8
243,14.4654,83.0456,2021-08-24 07:05:53,5.1,4.8
244,10.5463,92.1946,2021-08-23 05:16:52,4.7,4.8
245,10.7582,94.4328,2021-08-22 07:57:01,4.1,4.8
246,14.0695,92.8419,2021-08-20 00:27:34,4.6,4.8
247,12.3093,95.038,2021-08-14 19:50:17,4.7,4.8
248,16.4467,94.1222,2021-08-10 05:50:16,4.1,4.8
249,8.8991,94.1059,2021-08-06 03:49:24,4.6,4.8
250,8.8132,94.0532,2021-08-05 12:46:00,5.1,4.8
251,8.8466,94.1924,2021-08-04 18:00:53,4.6,4.8
252,8.7969,94.0796,2021-08-04 17:57:40,5.5,4.8
253,9.0695,94.2481,2021-08-04 01:56:10,4.4,4.8
254,9.02,93.9111,2021-08-03 07:39:35,4.7,4.8
255,8.9515,94.1539,2021-08-03 03:54:54,4.3,4.8
256,9.0073,94.1651,2021-08-03 03:43:53,5.8,4.8
257,8.8813,94.0183,2021-08-03 03:42:38,6.1,4.8
258,8.8628,94.0564,2021-08-03 03:42:07,5.3,4.8
259,9.0127,94.1198,2021-08-03 01:51:14,5.3,4.8
260,13.6942,92.7449,2021-07-12 20:14:51,4.6,4.8
261,11.0785,93.4623,2021-07-07 20:21:09,4.2,4.8
262,10.2844,91.567,2021-06-02 19:45:34,4.6,4.8
263,12.8061,93.3096,2021-06-01 01:09:21,4.5,4.8
264,10.7126,91.5096,2021-05-27 13:00:46,4.4,4.8
265,13.2087,92.8437,2021-05-25 14:14:37,4.5,4.8
266,11.7799,94.876,2021-05-24 03:49:09,4.5,4.8
267,14.5393,93.7329,2021-05-17 22:54:34,4.1,4.8
268,9.0163,92.2062,2021-05-12 03:58:23,4.6,4.8
269,10.4847,93.8566,2021-04-21 19:45:14,4.3,4.8
270,9.9295,93.1765,2021-04-21 19:39:01,4.4,4.8
271,10.5902,94.2339,2021-04-21 19:34:42,4.6,4.8
272,10.8839,91.5252,2021-04-14 16:45:09,4.1,4.8
273,17.7099,94.1714,2021-03-25 00:28:53,4.3,4.8
274,11.987,94.5015,2021-02-16 20:36:52,4.7,4.8
275,9.1314,93.8707,2021-02-15 13:53:17,4.4,4.8
276,13.9209,96.4846,2021-02-08 15:40:37,4.4,4.8
277,13.1497,92.5328,2021-01-27 02:52:29,4.4,4.8
278,16.0246,92.9758,2020-12-26 14:19:09,4.5,4.8
279,12.619,93.2653,2020-12-06 13:35:41,4.6,4.8
280,10.1668,93.6071,2020-11-26 02:00:31,4.3,4.8
281,14.0018,92.5891,2020-11-22 00:00:40,4.3,4.8
282,13.7389,92.4013,2020-11-17 03:28:22,4.3,4.8
283,13.9453,92.9836,2020-11-07 06:19:11,4.5,4.8
284,12.1851,95.7845,2020-10-14 23:39:01,4.3,4.8
285,13.1472,93.1904,2020-09-07 21:37:50,4.7,4.8
286,14.0641,93.0643,2020-09-06 11:36:45,4.1,4.8
287,9.5672,93.3607,2020-08-19 20:53:04,4.9,4.8
288,12.1567,94.9118,2020-07-20 22:52:49,4.5,4.8
289,12.1027,94.9647,2020-07-17 18:33:00,5.7,4.8
290,12.0002,95.1209,2020-07-17 17:45:23,4.8,4.8
291,11.9603,94.7105,2020-07-17 14:43:18,5.0,4.8
292,11.984,94.8885,2020-07-17 14:03:42,6.1,4.8
293,11.8869,94.9157,2020-07-17 13:29:05,5.1,4.8
294,11.8654,95.0388,2020-07-17 05:37:17,4.6,4.8
295,11.6984,95.0094,2020-07-17 05:01:13,4.8,4.8
296,14.3503,92.992,2020-07-12 21:06:47,4.6,4.8
297,8.8774,93.9083,2020-07-12 19:34:50,4.4,4.8
298,12.9785,92.4828,2020-07-07 23:49:28,4.6,4.8
299,12.9095,92.6873,2020-06-28 03:26:21,4.2,4.8
300,15.1779,96.2038,2020-06-24 22:28:28,4.3,4.8
301,10.2844,93.7934,2020-06-11 10:48:34,4.6,4.8
302,14.1533,91.6121,2020-06-09 20:47:35,4.6,4.8
303,9.3203,92.7019,2020-06-07 15:14:20,4.5,4.8
304,10.8899,92.5217,2020-05-31 13:03:58,4.7,4.8
305,12.6084,93.2388,2020-05-30 23:12:23,4.4,4.8
306,11.7257,92.3273,2020-05-29 00:30:29,4.5,4.8
307,14.0613,94.01,2020-05-23 09:11:36,4.7,4.8
308,11.3192,93.5383,2020-05-22 19:43:08,4.3,4.8
309,16.6323,94.4495,2020-05-06 11:26:53,4.1,4.8
310,12.1157,92.936,2020-04-27 19:54:31,4.4,4.8
311,17.0062,96.2746,2020-04-22 18:47:00,3.1,4.8
312,9.3687,92.9668,2020-04-21 00:09:10,4.8,4.8
313,17.3704,95.1694,2020-04-20 05:19:15,4.2,4.8
314,12.0153,92.9576,2020-04-13 17:34:03,4.3,4.8
315,8.8624,93.9608,2020-03-19 12:58:56,4.9,4.8
316,17.6247,94.3051,2020-03-03 09:18:50,4.9,4.8
317,10.5177,94.0622,2020-02-12 19:17:55,4.3,4.8
318,17.6453,94.317,2020-02-11 17:52:42,4.6,4.8
319,13.1329,93.2938,2020-02-10 18:20:09,4.9,4.8
320,12.8396,92.6303,2020-02-09 08:48:50,4.4,4.8
321,11.1226,93.5748,2020-02-07 11:00:40,4.4,4.8
322,10.3105,93.7827,2020-01-29 15:10:53,5.0,4.8
323,8.8585,93.5608,2020-01-06 15:08:03,4.9,4.8
324,13.7191,93.4256,2019-11-29 17:50:18,4.9,4.8
325,14.2308,93.0511,2019-11-27 10:07:13,4.5,4.8
326,10.9861,95.15,2019-11-20 14:06:55,4.6,4.8
327,11.2863,92.9571,2019-11-17 23:05:55,5.1,4.8
328,16.7637,96.1838,2019-11-12 15:24:18,3.8,4.8
329,13.3676,93.5713,2019-10-12 06:50:56,4.4,4.8
330,10.9759,91.65,2019-09-29 09:02:11,4.7,4.8
331,10.7932,91.6736,2019-09-26 19:31:59,4.2,4.8
332,10.8407,91.6606,2019-09-26 19:15:33,4.7,4.8
333,14.0514,93.5854,2019-09-16 18:49:44,4.0,4.8
334,10.9512,91.8646,2019-09-11 15:40:17,4.6,4.8
335,16.2305,95.0566,2019-09-10 20:18:44,4.6,4.8
336,13.1,93.2394,2019-08-28 13:40:06,5.0,4.8
337,9.1171,93.5712,2019-08-21 09:19:12,4.9,4.8
338,11.9126,95.0085,2019-08-04 01:26:14,5.0,4.8
339,14.1694,93.4565,2019-08-01 00:43:18,4.5,4.8
340,11.8542,94.8332,2019-07-17 16:55:35,4.9,4.8
341,9.3763,87.1121,2019-07-05 17:08:27,5.0,4.8
342,10.0265,93.88,2019-06-23 02:35:14,4.3,4.8
343,12.1229,92.709,2019-06-17 22:19:59,4.9,4.8
344,17.0952,93.9096,2019-06-15 06:23:19,4.0,4.8
345,8.9159,93.7546,2019-05-26 02:19:49,4.6,4.8
346,10.8163,91.6187,2019-05-24 23:19:53,4.7,4.8
347,13.8738,92.9593,2019-05-24 21:23:35,5.0,4.8
348,10.6348,91.4341,2019-05-24 20:44:37,4.2,4.8
349,13.8855,92.9713,2019-05-22 00:39:34,5.6,4.8
350,10.7841,93.5461,2019-05-07 08:24:12,4.6,4.8
351,12.5345,93.2991,2019-05-06 14:53:18,4.4,4.8
352,10.9578,91.7043,2019-04-25 18:50:52,4.2,4.8
353,10.2274,92.4997,2019-04-23 14:14:44,4.5,4.8
354,12.4345,93.5064,2019-04-15 13:33:49,4.2,4.8
355,14.069,93.1441,2019-04-13 23:02:50,4.5,4.8
356,11.8499,92.8553,2019-04-12 11:23:00,4.7,4.8
357,10.5622,93.7769,2019-04-12 01:56:59,4.2,4.8
358,13.1345,95.4198,2019-04-08 01:54:52,5.1,4.8
359,11.168,95.1437,2019-03-28 03:08:13,5.2,4.8
360,13.9762,93.1001,2019-03-23 11:34:01,4.9,4.8
361,14.1145,93.0433,2019-03-23 11:29:27,5.2,4.8
362,11.9231,92.8488,2019-03-20 10:27:35,4.9,4.8
363,11.8129,93.6513,2019-03-11 01:14:29,4.5,4.8
364,9.9945,92.7724,2019-03-10 13:20:08,4.7,4.8
365,10.2536,93.7785,2019-02-24 17:12:11,4.3,4.8
366,13.4538,91.7532,2019-02-12 20:21:21,4.4,4.8
367,14.4616,85.7332,2019-02-12 01:32:27,4.9,4.8
368,14.8932,99.1007,2018-12-30 15:39:19,4.3,4.8
369,12.8155,93.5007,2018-12-27 16:46:09,4.4,4.8
370,8.791,93.8375,2018-10-28 16:53:43,4.8,4.8
371,12.9046,92.2347,2018-10-01 13:24:44,5.1,4.8
372,10.4733,91.652,2018-09-29 08:18:00,4.1,4.8
373,10.7666,91.6059,2018-08-24 12:18:07,4.5,4.8
374,10.5721,91.7204,2018-08-24 10:49:27,5.5,4.8
375,16.0979,96.5102,2018-08-16 06:50:11,4.3,4.8
376,14.0665,93.2233,2018-08-13 16:07:11,4.9,4.8
377,10.9238,91.8114,2018-07-17 14:42:22,4.6,4.8
378,12.9343,93.4058,2018-07-10 07:36:30,4.5,4.8
379,14.5383,96.4654,2018-07-04 20:34:52,5.1,4.8
380,11.353,93.0778,2018-07-04 17:54:56,4.0,4.8
381,15.5507,94.3396,2018-07-04 11:08:16,4.5,4.8
382,13.1567,92.5196,2018-07-04 07:12:50,5.3,4.8
383,13.276,93.5947,2018-07-03 23:55:23,4.4,4.8
384,14.0705,92.8391,2018-06-28 19:03:21,4.4,4.8
385,10.1921,93.0909,2018-06-20 19:04:15,4.5,4.8
386,16.4057,96.334,2018-06-18 13:56:48,4.3,4.8
387,13.5505,92.9769,2018-06-10 22:38:27,4.5,4.8
388,9.5212,93.4269,2018-05-28 02:00:00,5.2,4.8
389,10.8902,93.6517,2018-05-25 17:41:54,4.7,4.8
390,11.0716,93.5682,2018-04-24 01:15:43,4.4,4.8
391,13.1779,92.3513,2018-04-23 18:01:26,4.9,4.8
392,16.7503,95.8211,2018-04-18 07:55:36,4.2,4.8
393,16.1491,95.6887,2018-04-16 13:32:33,3.4,4.8
394,16.1711,95.7135,2018-04-15 14:27:50,3.4,4.8
395,16.1878,95.7911,2018-04-14 22:27:32,4.1,4.8
396,13.8976,92.8286,2018-04-09 23:11:38,4.0,4.8
397,12.5671,93.7551,2018-03-16 19:58:33,4.3,4.8
398,11.9132,92.2633,2018-03-15 17:07:05,4.3,4.8
399,12.3644,93.1316,2018-02-13 02:39:53,5.6,4.8
400,16.2174,96.5388,2018-02-04 08:42:02,4.1,4.8
401,14.6681,92.6095,2018-01-24 11:01:46,4.3,4.8
402,12.1779,92.4336,2018-01-14 15:48:09,4.7,4.8
403,16.618,95.9378,2018-01-13 08:19:47,3.8,4.8
404,17.6825,94.4005,2018-01-06 22:56:57,4.1,4.8
405,10.0394,93.0186,2017-12-22 15:58:49,4.8,4.8
406,9.7595,93.5468,2017-12-19 13:23:32,4.9,4.8
407,11.8055,93.8373,2017-12-11 16:49:48,4.6,4.8
408,12.1948,95.085,2017-12-02 19:36:18,4.4,4.8
409,9.8714,93.1863,2017-11-13 13:41:53,4.3,4.8
410,16.3955,95.0669,2017-11-12 01:16:56,4.0,4.8
411,13.7225,92.9359,2017-10-25 18:20:47,4.7,4.8
412,13.032,93.3537,2017-10-10 14:42:26,4.6,4.8
413,12.9368,92.4082,2017-10-09 19:32:39,4.5,4.8
414,10.993,94.7616,2017-10-06 20:59:02,4.1,4.8
415,12.0039,95.0977,2017-10-06 14:00:33,5.1,4.8
416,12.8533,91.9221,2017-10-02 23:31:42,4.7,4.8
417,12.898,92.3426,2017-10-01 14:35:36,4.5,4.8
418,12.7332,91.9129,2017-10-01 12:49:04,4.6,4.8
419,12.8183,92.0967,2017-09-17 14:48:11,5.0,4.8
420,12.7773,92.0628,2017-09-17 10:27:11,4.5,4.8
421,12.8959,91.9514,2017-09-15 22:37:58,4.2,4.8
422,11.1912,93.763,2017-09-11 16:44:54,4.4,4.8
423,10.2437,93.1611,2017-09-06 00:10:55,5.0,4.8
424,9.2814,93.1142,2017-09-03 06:52:17,4.9,4.8
